crop_name,variety_name,crop_type,growth_stage,soil_type,soil_texture,soil_pH,soil_organic_matter_pct,soil_nitrogen,soil_phosphorus,soil_potassium,soil_salinity,weather_temp_C,weather_min_temp_C,weather_max_temp_C,weather_rainfall_mm,weather_humidity_pct,weather_wind_speed_kmph,weather_sunlight_hours,irrigation_type,irrigation_frequency_per_week,irrigation_volume_liters_per_hectare,recommended_crop,recommended_variety,fertilizer_type,fertilizer_brand,fertilizer_dosage_kg_per_hectare,fertilizer_application_stage,pest_disease_detected,disease_severity,treatment_suggested,treatment_method,yield_prediction_kg_per_hectare,expected_yield_range,harvest_time_days,harvest_method,post_harvest_storage,market_price_per_kg,market_demand_index,budget_estimate_usd,cost_breakdown_fertilizer_usd,cost_breakdown_labor_usd,cost_breakdown_irrigation_usd,profit_prediction_usd,gm_crop,gm_trait,planting_strategy_notes,sustainability_score,last_updated
Potato,Potato_Variety_2,Legume,Flowering,Loamy,Fine,7.23,1.25,49,4,78,1.05,38.7,36.23895300660159,43.24567085005581,404.7,49.0,19.5,10.9,Sprinkler,7,3671.1,Cotton,Cotton_Variety_1,Compost,Brand_4,173.4,Flowering,Root Rot,Medium,None,Seed Treatment,5162.4,4646-5678,117,Manual,Open Shed,11.56,0.75,12490.27,1347.89,2391.95,1134.02,47187.07,Yes,Pest Resistance,Plant Potato in Loamy soil with Sprinkler irrigation.,0.7,2025-01-31
Soybean,Soybean_Variety_1,Fiber,Vegetative,Sandy,Medium,5.83,2.01,35,23,82,0.69,18.0,14.747899441317696,22.01638977992684,735.1,61.3,19.5,10.1,Drip,5,1191.2,Maize,Maize_Variety_4,NPK,Brand_9,92.5,Pre-plant,Stem Borer,Low,Fungicide B,Soil Drench,5044.3,4539-5548,103,Mechanical,Open Shed,28.63,0.82,16995.53,919.01,4086.48,641.0,127422.78,Yes,High Yield,Plant Soybean in Sandy soil with Drip irrigation.,0.67,2024-12-05
Soybean,Soybean_Variety_4,Legume,Seeding,Silty,Fine,7.95,1.1,4,29,58,0.76,16.6,12.444145495810096,21.58545335171482,368.1,41.4,4.3,5.8,Surface,2,3326.9,Potato,Potato_Variety_5,Urea,Brand_7,105.4,Flowering,Aphids,High,None,Seed Treatment,5139.3,4625-5653,102,Manual,Warehouse,40.09,0.12,11429.18,752.92,3720.91,1242.61,194605.36,Yes,Pest Resistance,Plant Soybean in Silty soil with Surface irrigation.,0.91,2024-09-02
Potato,Potato_Variety_3,Cereal,Seeding,Peaty,Coarse,6.21,1.19,0,45,22,1.17,16.3,12.354239969121842,19.29580714255978,1142.3,53.3,7.8,4.7,Surface,6,3579.7,Rice,Rice_Variety_3,MOP,Brand_9,143.6,Flowering,Blight,High,Neem Oil,Spray,3673.1,3305-4040,81,Manual,Warehouse,21.0,0.64,16063.24,981.78,2335.73,980.99,61071.86,Yes,Drought Resistance,Plant Potato in Peaty soil with Surface irrigation.,1.0,2024-12-11
Cotton,Cotton_Variety_5,Tuber,Seeding,Peaty,Fine,7.5,2.96,54,53,17,0.65,35.7,33.51399542486492,40.38249462714581,337.3,89.8,9.7,9.0,Drip,2,2749.7,Cotton,Cotton_Variety_1,Compost,Brand_9,165.7,Flowering,Stem Borer,Low,None,Spray,5494.4,4944-6043,144,Manual,Open Shed,15.34,0.86,8180.84,761.26,3151.51,868.19,76103.26,No,None,Plant Cotton in Peaty soil with Drip irrigation.,0.15,2025-04-07
Maize,Maize_Variety_3,Cereal,Seeding,Chalky,Fine,6.52,3.09,69,6,60,0.85,39.0,34.64329786739999,43.56185168095237,864.0,32.7,0.5,4.3,Sprinkler,3,3318.5,Sugarcane,Sugarcane_Variety_5,Compost,Brand_2,117.9,Pre-plant,Stem Borer,None,Pesticide A,Seed Treatment,1040.6,936-1144,181,Manual,Open Shed,22.16,0.33,18023.63,644.03,1524.42,1179.01,5036.07,Yes,High Yield,Plant Maize in Chalky soil with Sprinkler irrigation.,0.76,2025-04-01
Rice,Rice_Variety_2,Legume,Seeding,Peaty,Coarse,5.7,4.39,55,8,6,1.27,37.0,32.917871332642086,41.107339174870944,286.2,80.0,10.7,7.3,Sprinkler,6,2643.8,Sugarcane,Sugarcane_Variety_3,Compost,Brand_1,196.3,Pre-plant,Stem Borer,Low,Pesticide A,Spray,7929.9,7136-8722,121,Mechanical,Warehouse,49.66,0.12,7842.17,1861.1,1693.51,991.83,385956.66,Yes,Pest Resistance,Plant Rice in Peaty soil with Sprinkler irrigation.,0.69,2025-03-07
Sugarcane,Sugarcane_Variety_2,Cereal,Harvesting,Peaty,Fine,6.25,4.91,81,94,20,0.96,20.5,16.026017589753344,24.010896765311152,505.2,40.6,8.8,6.0,Manual,6,760.6,Wheat,Wheat_Variety_5,Compost,Brand_8,116.8,Post-emergence,Leaf Spot,Medium,Biological Control,Seed Treatment,1722.8,1550-1895,87,Manual,Warehouse,41.91,0.21,15348.43,1798.57,3077.31,636.59,56854.12,Yes,None,Plant Sugarcane in Peaty soil with Manual irrigation.,0.02,2025-03-06
Sugarcane,Sugarcane_Variety_3,Fiber,Harvesting,Chalky,Medium,7.51,1.59,47,38,83,0.46,36.0,33.86925341170794,38.86392258458083,577.9,40.3,1.8,6.9,Drip,1,4537.3,Maize,Maize_Variety_5,Vermicompost,Brand_3,264.0,Pre-plant,Aphids,High,Biological Control,Spray,5916.8,5325-6508,157,Manual,Warehouse,31.81,0.98,6293.48,1872.28,2600.95,557.68,181919.93,No,None,Plant Sugarcane in Chalky soil with Drip irrigation.,0.03,2024-11-28
Cotton,Cotton_Variety_5,Tuber,Flowering,Silty,Fine,7.79,1.62,28,72,46,0.76,15.2,11.647757022062471,17.544054167792726,1169.3,48.1,14.0,5.6,Sprinkler,5,3442.1,Rice,Rice_Variety_2,MOP,Brand_8,123.4,Post-emergence,Root Rot,Low,None,Spray,2700.2,2430-2970,85,Mechanical,Open Shed,27.03,0.44,13391.27,796.8,4227.9,989.94,59595.14,Yes,Drought Resistance,Plant Cotton in Silty soil with Sprinkler irrigation.,0.9,2025-01-09
Soybean,Soybean_Variety_3,Fiber,Harvesting,Chalky,Fine,7.99,2.74,83,52,78,0.95,17.1,13.504766879586562,19.74853237547504,765.0,89.1,7.7,11.7,Sprinkler,3,4197.6,Maize,Maize_Variety_1,Urea,Brand_4,291.9,Post-emergence,Blight,High,Fungicide B,Soil Drench,4010.0,3609-4411,143,Mechanical,Open Shed,21.98,0.09,11057.4,898.08,3633.42,623.96,77082.4,No,None,Plant Soybean in Chalky soil with Sprinkler irrigation.,0.46,2024-10-29
Maize,Maize_Variety_2,Cereal,Seeding,Clay,Medium,7.37,3.9,86,76,0,1.43,16.1,11.730153804083189,18.11316720772725,451.9,33.4,9.7,6.4,Drip,3,2355.5,Wheat,Wheat_Variety_4,Compost,Brand_7,229.5,Post-emergence,Aphids,Low,None,Spray,6329.4,5696-6962,128,Manual,Open Shed,23.95,0.4,11667.55,743.98,3583.67,1356.21,139921.58,No,None,Plant Maize in Clay soil with Drip irrigation.,0.59,2024-07-14
Maize,Maize_Variety_3,Legume,Seeding,Peaty,Fine,6.79,1.23,25,36,40,0.44,21.0,18.87270554867526,25.439301546959157,930.3,53.4,13.0,11.4,Drip,7,4217.8,Potato,Potato_Variety_3,Vermicompost,Brand_1,277.1,Flowering,Stem Borer,None,None,Seed Treatment,4586.5,4127-5045,135,Manual,Open Shed,14.74,0.87,15492.28,738.95,1881.89,1174.69,52112.73,No,None,Plant Maize in Peaty soil with Drip irrigation.,0.2,2024-08-23
Potato,Potato_Variety_5,Tuber,Harvesting,Sandy,Coarse,6.86,3.34,47,44,85,1.48,29.1,25.992590949350657,33.301897433477194,1040.1,87.1,13.4,9.7,Surface,5,4356.0,Wheat,Wheat_Variety_5,Compost,Brand_8,277.1,Pre-plant,Root Rot,High,Neem Oil,Spray,5881.6,5293-6469,193,Manual,Cold Storage,33.67,0.68,11087.71,1352.26,4344.41,526.25,186945.76,No,None,Plant Potato in Sandy soil with Surface irrigation.,0.51,2025-01-15
Potato,Potato_Variety_3,Fiber,Harvesting,Sandy,Fine,7.74,3.04,0,15,99,0.13,38.9,36.126671888874114,43.66894264931313,423.4,63.6,19.6,4.3,Surface,1,1361.9,Potato,Potato_Variety_4,Urea,Brand_1,149.7,Flowering,Root Rot,Low,Fungicide B,Soil Drench,3702.5,3332-4072,163,Mechanical,Warehouse,17.82,0.21,18130.08,1133.07,2416.46,1096.97,47848.47,Yes,Drought Resistance,Plant Potato in Sandy soil with Surface irrigation.,0.72,2024-05-22
Wheat,Wheat_Variety_2,Legume,Harvesting,Peaty,Medium,7.63,1.02,24,39,77,0.33,30.2,27.124777851270384,33.01648029638162,306.6,55.2,15.7,9.1,Surface,4,3729.1,Maize,Maize_Variety_1,Compost,Brand_7,118.4,Post-emergence,Stem Borer,High,Neem Oil,Spray,3217.6,2895-3539,97,Mechanical,Cold Storage,26.98,0.04,18791.88,1214.79,4904.09,1422.55,68018.97,No,None,Plant Wheat in Peaty soil with Surface irrigation.,0.06,2024-12-11
Soybean,Soybean_Variety_4,Fiber,Harvesting,Chalky,Medium,7.62,2.91,58,24,55,0.54,33.2,29.864256630393548,37.120873914094815,691.2,36.4,3.7,11.7,Surface,6,3375.6,Sugarcane,Sugarcane_Variety_5,Urea,Brand_10,165.3,Pre-plant,Root Rot,Low,Neem Oil,Soil Drench,2611.0,2349-2872,101,Manual,Cold Storage,40.98,0.72,18247.43,685.92,2205.09,931.63,88751.35,No,None,Plant Soybean in Chalky soil with Surface irrigation.,0.19,2025-03-07
Cotton,Cotton_Variety_5,Tuber,Vegetative,Silty,Fine,5.73,3.29,38,4,17,1.29,38.6,35.31338901188017,41.35749697292373,391.7,51.4,9.0,7.3,Sprinkler,2,654.0,Sugarcane,Sugarcane_Variety_5,Vermicompost,Brand_9,161.0,Flowering,Leaf Spot,High,Fungicide B,Spray,7942.6,7148-8736,85,Manual,Cold Storage,16.2,0.89,7182.33,983.78,1861.82,501.74,121487.79,No,None,Plant Cotton in Silty soil with Sprinkler irrigation.,0.08,2024-04-16
Potato,Potato_Variety_1,Tuber,Seeding,Clay,Fine,7.1,4.14,20,84,32,1.48,16.1,11.10259794765825,18.52675281507751,709.5,88.2,13.1,11.2,Manual,1,2773.0,Cotton,Cotton_Variety_2,Urea,Brand_10,264.8,Post-emergence,Leaf Spot,High,None,Seed Treatment,3360.0,3024-3696,167,Manual,Warehouse,49.22,0.25,19665.08,1358.93,3204.17,1485.63,145714.12,No,None,Plant Potato in Clay soil with Manual irrigation.,0.02,2024-11-22
Maize,Maize_Variety_5,Fiber,Flowering,Silty,Medium,7.16,4.26,45,52,9,1.41,22.6,19.773787793734563,26.83507640676941,1007.1,72.3,6.4,8.1,Sprinkler,5,2125.6,Rice,Rice_Variety_3,MOP,Brand_8,155.4,Pre-plant,Leaf Spot,None,Biological Control,Seed Treatment,1103.8,993-1214,103,Manual,Warehouse,25.82,0.92,19204.9,1121.71,3534.87,1321.88,9295.22,No,None,Plant Maize in Silty soil with Sprinkler irrigation.,0.9,2025-02-24
Sugarcane,Sugarcane_Variety_4,Cereal,Harvesting,Chalky,Coarse,6.71,3.97,61,30,18,0.53,28.8,26.448674195348282,33.55871814986755,488.6,68.2,5.9,10.0,Manual,7,2077.5,Sugarcane,Sugarcane_Variety_2,DAP,Brand_4,133.6,Pre-plant,Root Rot,High,Fungicide B,Spray,2563.2,2306-2819,116,Mechanical,Open Shed,14.78,0.8,9018.79,1436.22,2663.95,1372.42,28865.31,Yes,Drought Resistance,Plant Sugarcane in Chalky soil with Manual irrigation.,0.12,2025-02-28
Barley,Barley_Variety_2,Fiber,Vegetative,Clay,Medium,7.88,4.32,83,54,81,0.44,34.8,29.92100071384585,37.46317779785481,465.0,40.3,8.9,11.5,Manual,7,1023.5,Potato,Potato_Variety_3,NPK,Brand_8,189.1,Post-emergence,Leaf Spot,Low,Pesticide A,Spray,2543.1,2288-2797,128,Mechanical,Open Shed,41.0,0.39,13259.32,1625.66,1353.9,1067.89,91007.78,Yes,High Yield,Plant Barley in Clay soil with Manual irrigation.,0.16,2024-06-08
